en,zh_CN,pos,description
abort,中止
absolute address,绝对地址
real address,实地址
access token,访问令牌
adapter,适配卡
animated GIF,动态 GIF
anonymity,匿名
anonymous logon,匿名登录
antivirus program,防病毒程序
antivirus software,防病毒软件
AV,AV
application service provider,应用程序服务提供商
ASP,ASP
authorization,授权
buffer,缓冲区
buffer overrun,缓冲区溢出
certificate,证书
digital certificate,数字证书
client,客户端
client computer,客户端计算机
cookie,cookie
country/region-specific,国家/地区特定的
credentials,凭据
cryptography,加密
data transfer,数据传输
decryption,解密
digital rights management,数字版权管理
DRM,DRM
digital signature,数字签名
download,下载
driver,驱动程序
ellipsis,省略号
em dash,长破折号
e-mail address,电子邮件地址
address,地址
emoticon,表情
emulate,仿真
Encrypting File System,加密文件系统
EFS,EFS
encryption,加密
Extensible Markup Language,可扩展标记语言
XML,XML
FAQ,FAQ
File Transfer Protocol,文件传输协议
FTP,FTP
filter,筛选器
finger,获取
finger,接头程序
firewall,防火墙
fixed markup,固定标记
floppy disk,软盘
float,浮动
GB,GB
gigabyte,GB
GUID,GUID
universally unique identifier,全局唯一标识符
UUID,UUID
unique identifier,唯一标识符
globally unique identifier,全局唯一标识符
graphical user interface,图形用户界面
GUI,GUI
visual interface,可视界面
hit,点击
host,主机
home page,主页
welcome page,欢迎页
hot spot,热点
hotfix,修补程序
hotfix package,修补程序包
HTML,HTML
Hypertext Markup Language,超文本标记语言
http,http
HTTP,HTTP
Hypertext Transfer Protocol,超文本传输协议
hyperlink,超链接
toolbar,工具栏
minimize,最小化
IDE,IDE
integrated device electronics,集成驱动电子设备
integrated drive electronics,集成驱动电子设备
IDE,IDE
integrated development environment,集成开发环境
instant messaging,即时消息传递
IM,IM
Internet service provider,Internet 服务提供商
ISP,ISP
access provider,接入服务提供商
service provider,服务提供商
intranet,Intranet
IP address,IP 地址
junk e-mail,垃圾邮件
spam,垃圾邮件
UCE,UCE
kiosk,网亭
LAN,LAN
local area network,局域网
latency,延迟
loader,加载器
local server,本地服务器
log,记录
mailing list,邮件列表
MB,MB
megabyte,兆字节
MIME,MIME
Multipurpose Internet Mail Extensions,多用途 Internet 邮件扩展
modem,调制解调器
modulator/demodulator,调制解调器
newsgroup,新闻组
PDF,PDF
permissions,权限
pixel,像素
pop-up window,弹出窗口
proxy server,代理服务器
real-time,实时
script,脚本
service pack,Service Pack
SP,SP
service principal name,服务主体名称
SPN,SPN
Super VGA,超级 VGA
super video graphics adapter,超级视频图形适配器
SVGA,SVGA
switch,交换机
table of contents,目录
TOC,TOC
UDDI,UDDI
"Universal Description, Discovery, and Integration",通用描述、发现和集成
update,更新
software upgrade,软件升级
upload,上载
user name,用户名
virus,病毒
Web page,网页
web page,网页
worm,蠕虫病毒
ADO.NET,ADO.NET
ASP.NET,ASP.NET
common language runtime,公共语言运行时
CLR,CLR
expose,暴露
managed code,托管代码
safe code,安全代码
Microsoft Visual Studio .NET,Microsoft Visual Studio .NET
Visual Studio .NET,Visual Studio .NET
Simple Object Access Protocol,简单对象访问协议
SOAP,SOAP
Web Services Description Language,Web Services 描述语言
WSDL,WSDL
Web service,Web 服务
XML Web service,XML Web service
kiosk mode,展台模式
vulnerability,漏洞
critical update,关键更新
update,更新
security update,安全更新程序
security update package,安全更新程序包
strong password,强密码
weak password,弱密码
update rollup,更新汇总
connector,连接器
tool,工具
product vulnerability,产品漏洞
access,访问权限
BBBOnLine,BBBOnLine
change management,变更管理
cipher,密码
ciphertext,已加密文本
deceptive trade practices,欺骗性贸易行为
denial of service attack,拒绝服务攻击
DoS,DoS
denial-of-service attack,拒绝服务攻击
elevation of privilege,特权提升
encrypted data,加密数据
GLB,GLB
business intelligence,商业智能
access speed,访问速度
access time,存取时间
add-in,外接程序
add-on,附加设备
archive,存档
compound file,复合文件
compressed file,压缩文件
indent,缩进
legacy device,旧设备
monochrome monitor,单色监视器
page fault,页面错误
paged pool,页面缓冲池
per-seat licensing,每客户授权
stream,流式传输
thesaurus,同义词库
Secure Sockets Layer,安全套接字层
SSL,SSL
user-interface thread,用户界面线程
virtual private network,虚拟专用网
VPN,VPN
what-if analysis,模拟分析
Distributed File System,分布式文件系统
DFS,DFS
abend,中止
ABR,ABR
